Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
. In het Commentaar geeft NRC zijn mening over belangrijke nieuwsfeiten. De commentatoren schrijven deze artikelen in samenspraak met de hoofdredactie.,. In <extra_id_0> NRC zijn mening over belangrijke nieuwsfeiten. De commentatoren schrijven deze artikelen in samenspraak met de hoofdredactie.,['het Commentaar geeft'],3,8
". SCHEIDSLIJN Ton Wiggers, artistiek leider van Introdans in Arnhem heeft met zijn nieuw ballet 'Scheidslijn' voor een regelrechte verrassing gezorgd. Buiten krachtige mannendansen zijn er twee ontroerende solo's voor Hilde Machtelinckx en Mirjam Diedrich. Van Diedrich is er ook een nieuw, vlot lopend werk 'Mijmering'.",". SCHEIDSLIJN Ton Wiggers, artistiek leider van Introdans in Arnhem heeft met zijn nieuw ballet 'Scheidslijn' voor een regelrechte verrassing gezorgd. Buiten krachtige <extra_id_0> twee ontroerende solo's voor Hilde Machtelinckx en Mirjam <extra_id_1> er ook een nieuw, vlot lopend werk 'Mijmering'.","['mannendansen zijn er', 'Diedrich. Van Diedrich is']",7,8
1. e2-e4 c7-c5 2. Pg1-f3 d7-d6 3. d2-d4 c5xd4 4. Pf3xd4 Pg8-f6 5. Pb1-c3 a7-a6 6. Lc1-g5 e7-e6 7. f2-f4,1. e2-e4 c7-c5 2. Pg1-f3 d7-d6 3. <extra_id_0> Pf3xd4 Pg8-f6 5. Pb1-c3 a7-a6 6. Lc1-g5 e7-e6 7. f2-f4,['d2-d4 c5xd4 4.'],3,8
"Cast Away (Robert Zemeckis, 2000, VS). In moderne variant op het verhaal van Robinson Cruso spoelt Tom Hanks aan op een onbewoond eiland en moet daar zien te overleven. Uitgebeend","Cast Away (Robert Zemeckis, 2000, VS). In moderne variant op het verhaal van Robinson Cruso spoelt Tom Hanks aan op een onbewoond eiland <extra_id_0> te overleven. Uitgebeend",['en moet daar zien'],4,8
scenario biedt Hanks als voornaamste tegenspeler een volleybal. Ondanks alle tegenslagen blijft de film optimistisch van toon.,scenario biedt Hanks als voornaamste tegenspeler een volleybal. Ondanks alle tegenslagen blijft de film <extra_id_0>,['optimistisch van toon.'],3,8
. LANG LEVE DE OPERA Jasperina de Jong en Lieuwe Visser spelen een geraffineerde en hoogst originele tweepersoonsmusical van Ivo de Wijs en Joop Stokkermans.,. LANG LEVE DE OPERA Jasperina de Jong en Lieuwe Visser spelen een geraffineerde en hoogst originele tweepersoonsmusical van Ivo <extra_id_0> Stokkermans.,['de Wijs en Joop'],4,8
". PHOTOGRAPHS TO BE USED SOLELY FOR ADVERTISING, PROMOTION, PUBLICITY OR REVIEWS OF THIS SPECIFIC MOTION PICTURE AND TO REMAIN THE PROPERTY OF THE STUDIO. NOT FOR SALE OR REDISTRIBUTION.",". PHOTOGRAPHS TO BE USED SOLELY FOR ADVERTISING, PROMOTION, PUBLICITY OR REVIEWS OF THIS SPECIFIC MOTION PICTURE AND TO <extra_id_0> THE STUDIO. NOT FOR SALE OR REDISTRIBUTION.",['REMAIN THE PROPERTY OF'],4,8
Redacteur Merlijn Kerkhof (28) laat iedere dinsdag zien wat de schoonheid is van klassieke muziek. Vandaag:,Redacteur Merlijn Kerkhof (28) laat iedere dinsdag zien wat de <extra_id_0> van klassieke muziek. Vandaag:,['schoonheid is'],2,8
". L.A. CONFIDENTIAL De bewerking van de bijna vijfhonderd pagina's tellende misdaadroman van James Ellroy door Curtis Hanson werd een overrompelend epos over corruptie in Los Angeles op gemeentelijk niveau. Terwijl drie rechercheurs ieder vanuit de eigen invalshoek aan de overval op een nachtrestaurant werken, speelt de volgens de traditie van de pulplectuur in sfeervolle morsigheid gedompelde stad der engelen de hoofdrol.",". L.A. CONFIDENTIAL De bewerking van de bijna vijfhonderd pagina's tellende misdaadroman van James Ellroy door Curtis Hanson werd een overrompelend epos over corruptie in Los Angeles <extra_id_0> Terwijl <extra_id_1> vanuit de eigen invalshoek aan de overval op een nachtrestaurant werken, speelt de volgens de traditie van de pulplectuur <extra_id_2> gedompelde stad der engelen de hoofdrol.","['op gemeentelijk niveau.', 'drie rechercheurs ieder', 'in sfeervolle morsigheid']",9,8
Verslaggevers Bas Blokker en Jutta Chorus reizen in aanloop naar de verkiezingen door het land om te zien wat er leeft.,Verslaggevers Bas Blokker en Jutta Chorus reizen in aanloop naar <extra_id_0> het land om te zien wat er leeft.,['de verkiezingen door'],3,8
Het Blad bij NRC is het maandelijkse magazine bij de weekendkrant. Met deze maand onder meer een dubbelinterview met,Het Blad bij NRC is het maandelijkse <extra_id_0> weekendkrant. Met deze maand onder meer een dubbelinterview met,['magazine bij de'],3,8
"lamour / Restez la nuit, restez toujours / s Avonds aan de Seine / In een discotheek / Zag ik toen die kleine / Die lachend naar me keek / Zij liep plots in mijn richting / Dat was toen mijn kans / Ik zocht snel naar mijn woorden / Zei toen in mn beste Frans","lamour / Restez la nuit, restez toujours / s Avonds aan de Seine / <extra_id_0> Zag ik toen die kleine / Die lachend naar me keek / Zij liep plots in mijn richting / Dat was toen mijn kans / <extra_id_1> mijn woorden / Zei toen in mn beste Frans","['In een discotheek /', 'Ik zocht snel naar']",8,8
Hoe lees je een gedicht? In deze serie helpt dichter en columnist Ellen Deckwitz je van je drempelvrees af. Les,Hoe <extra_id_0> gedicht? In deze serie helpt dichter en columnist Ellen Deckwitz je van je drempelvrees af. Les,['lees je een'],3,8
Deze rubriek belicht elke week kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Deze week,Deze rubriek belicht elke week <extra_id_0> bedrijfsleven waarover de rechter zich onlangs uitsprak. Deze week,['kwesties uit het'],3,8
Virtuoze relatiekomedie van Haye van der Heyden: vier acteurs in cabareteske scnes over liefde en lusteloosheid.,Virtuoze relatiekomedie van Haye van der Heyden: vier acteurs <extra_id_0> scnes over liefde en lusteloosheid.,['in cabareteske'],2,8
". Voortdurend verrassend parodiencabaret door de Vliegende Panters,die elk genre lijken te beheersen en al die genres kunnen laten ontsporen.",. Voortdurend verrassend parodiencabaret door de Vliegende <extra_id_0> lijken te beheersen en al die genres kunnen laten ontsporen.,"['Panters,die elk genre']",3,8
". THE SOUND OF MUSIC Aanvallige versie van de sprookjesachtige musical door het Koninklijk Ballet van Vlaanderen, met An Lauwereins en Ernst Danil Smid.",". THE SOUND OF MUSIC Aanvallige versie van de sprookjesachtige musical door <extra_id_0> Vlaanderen, met An Lauwereins en Ernst Danil Smid.",['het Koninklijk Ballet van'],4,8
? - NRC Durf te vragen Wekelijks zoekt de redactie wetenschap het antwoord op een veelgestelde vraag.,? - NRC Durf te vragen Wekelijks zoekt de redactie wetenschap <extra_id_0> een veelgestelde vraag.,['het antwoord op'],3,8
"Elsbeth Etty neemt wekelijks de stapel binnengekomen boeken door, signaleert en geeft een eerste oordeel. Deze week",Elsbeth Etty neemt wekelijks de stapel binnengekomen boeken <extra_id_0> geeft een eerste oordeel. Deze week,"['door, signaleert en']",3,8
"Vandaag in de zomerversie van de bijlage Boeken, die wekelijks op vrijdag in het hart van NRC Handelsblad verschijnt:","Vandaag in de zomerversie van de bijlage Boeken, die wekelijks <extra_id_0> het hart van NRC Handelsblad verschijnt:",['op vrijdag in'],3,8
Wat is het culturele DNA van ons continent? In een zoektocht naar Europese verworvenheden in de kunsten kwamen o,Wat <extra_id_0> DNA van ons continent? In een zoektocht naar Europese verworvenheden in de kunsten kwamen o,['is het culturele'],3,8
"Tijdens de examenperiode vloggen examenkandidaten Valerie, Tyra, Matthijs, Kuki en Sem (en haar zoontje Melle) over de eindexamens. Vandaag","<extra_id_0> vloggen examenkandidaten Valerie, Tyra, Matthijs, Kuki en Sem (en haar zoontje Melle) over de eindexamens. Vandaag",['Tijdens de examenperiode'],3,7
". Minou Bosua en Ingrid Werner, alias de Bloeiende Maagden, spelen cabaret over de zin van het leven, als een spannende quiz met diverse kandidaten en harde vragen.",". Minou Bosua en Ingrid Werner, alias <extra_id_0> cabaret over de zin van het leven, als een spannende quiz met diverse kandidaten en harde vragen.","['de Bloeiende Maagden, spelen']",4,7
met pensioen. Dat valt samen met een economische opleving. Gevolg is dat het tekort aan personeel sinds 1970 niet zo groot is geweest. Dit is het,met pensioen. Dat valt samen met <extra_id_0> is dat het tekort aan personeel sinds 1970 niet zo groot is geweest. Dit is het,['een economische opleving. Gevolg'],4,7
"Net als het succesvolle Chunking Express (1995) gaat de vijfde film van Wong Kar-wai over weemoed en verlangen in Hong Kong. Een lethargische huurmoordenaar, een hunkerende agente en drie andere excentrieke personages dolen rond in een nacht-en-neonuniversum dat zwierig en met veel humor in beeld is gebracht.","Net als het succesvolle Chunking Express (1995) gaat de vijfde film van Wong Kar-wai over weemoed en verlangen in <extra_id_0> lethargische huurmoordenaar, een hunkerende agente <extra_id_1> personages dolen rond in een nacht-en-neonuniversum dat zwierig en met veel humor in beeld is gebracht.","['Hong Kong. Een', 'en drie andere excentrieke']",7,7
". LEAVING LAS VEGAS Op roman van John O'Brien gebaseerde ode aan het verlangen naar vergetelheid van Mike Figgis, waarin Nicolas Cage een ongevenaarde rol speelt, gezaghebbend in alle stadia van dronkenschap en stocijns in zijn drang tot zelfvernietiging. Ook met Elisabeth Shue, als hoertje dat de alcoholist als een barmhartige doodsengel verzorgt, en onderstreept door een door Figgis zelf gecomponeerde jazz-score. In",". LEAVING LAS VEGAS Op roman van John O'Brien gebaseerde ode aan het verlangen naar vergetelheid van Mike Figgis, waarin Nicolas Cage een ongevenaarde rol <extra_id_0> alle stadia van dronkenschap en stocijns in zijn drang tot zelfvernietiging. Ook met Elisabeth Shue, als hoertje dat de <extra_id_1> barmhartige doodsengel verzorgt, en onderstreept door een door <extra_id_2> jazz-score. In","['speelt, gezaghebbend in', 'alcoholist als een', 'Figgis zelf gecomponeerde']",9,7
". The Money Pit (Richard Benjamin, 1986, VS). Teleurstellende remake van klassieke verbouwingskomedie Mr. Blandings",". The <extra_id_0> (Richard Benjamin, 1986, VS). Teleurstellende remake van klassieke verbouwingskomedie Mr. Blandings",['Money Pit'],2,7
"Het afschudden van ideologische veren is voor een politieke partij als de onze niet alleen een probleem, het is in bepaalde opzichten","Het afschudden van ideologische veren <extra_id_0> politieke partij als de onze niet alleen een probleem, het is in bepaalde opzichten",['is voor een'],3,7
"jaren ontslagen uit de gevangenis waar ze zat voor de moord op haar zoontje. Ze moet in het reine zien te komen met het verleden. Regie: Philippe Claudel. Met: Kristin Scott Thomas, Elsa Zylberstein,","jaren ontslagen uit de gevangenis waar ze zat voor de moord op haar zoontje. <extra_id_0> reine zien te komen met het verleden. Regie: Philippe Claudel. Met: Kristin Scott Thomas, Elsa Zylberstein,",['Ze moet in het'],5,7
"Je kunt het zo gek niet bedenken of er bestaat een club van. Wereldreizigers, bonsai-fans of biografen, allemaal hebben ze zich verenigd. Deel","Je kunt het zo gek niet bedenken of er bestaat een club van. Wereldreizigers, bonsai-fans of <extra_id_0> ze zich verenigd. Deel","['biografen, allemaal hebben']",3,7
"De lijst van popmusici die voortijdig en op het hoogtepunt van hun roem overleden is lang. Elk van hen heeft een zwanezang, een laatste veelbetekenend nummer. Een jaar lang worden, op","De lijst van popmusici die voortijdig en op <extra_id_0> roem overleden is lang. Elk van hen heeft een zwanezang, een laatste veelbetekenend nummer. Een jaar lang worden, op",['het hoogtepunt van hun'],5,7
december vertrekt Andr Kuipers met een Sojoezraket naar de ruimte. Tot dan elke week een bericht over zijn voorbereiding. Vandaag:,december vertrekt Andr Kuipers met een Sojoezraket naar de <extra_id_0> elke week een bericht over zijn voorbereiding. Vandaag:,['ruimte. Tot dan'],3,7
- NRC Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn ziekte met de boeken die hij (her)leest. Deze week:,- NRC Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn <extra_id_0> boeken die hij (her)leest. Deze week:,['ziekte met de'],3,7
". The Next Karate Kid (Christopher Cain, 1994, VS). Vierde actiefilm volgens de Karate Kid-formule gunt de hoofdrol voor de verandering aan een weesmeisje (Hil",". The Next Karate Kid (Christopher Cain, 1994, VS). Vierde actiefilm volgens de Karate Kid-formule gunt de hoofdrol <extra_id_0> een weesmeisje (Hil",['voor de verandering aan'],4,7
"thriller over voyeurisme, moord en erotiek in een flatgebouw. Suspense lijkt bijzaak in film vol gratuite hitsigheid, ondeugende spelletjes en zwart ondergoed.","thriller over voyeurisme, moord en <extra_id_0> flatgebouw. Suspense lijkt bijzaak in film vol gratuite hitsigheid, ondeugende spelletjes en zwart ondergoed.",['erotiek in een'],3,7
"Cronenberg trekt de kijker mee in proefsessie met een nieuw soort computerspel. In eXistenZ plugt de speler direct in op zijn centrale zenuwstelsel en dat van de ontwerpster (Jennifer Jason Leigh). Maar op haar hoofd rust een fatwa, uitgesproken door haar vijanden, de Realisten, die ook meespelen.","Cronenberg trekt de kijker mee in proefsessie met een nieuw soort computerspel. In <extra_id_0> speler direct in op zijn centrale zenuwstelsel en dat van de ontwerpster (Jennifer Jason Leigh). Maar op haar hoofd rust een fatwa, uitgesproken door haar vijanden, <extra_id_1> meespelen.","['eXistenZ plugt de', 'de Realisten, die ook']",7,7
"PHOTOGRAPHS TO BE USED SOLELY FOR ADVERTISING, PROMOTION, PUBLICITY OR REVIEWS OF THIS SPECIFIC MOTION PICTURE AND TO REMAIN THE PROPERTY OF THE STUDIO. NOT FOR SALE OR REDISTRIBUTION.","PHOTOGRAPHS TO BE USED SOLELY FOR ADVERTISING, PROMOTION, PUBLICITY OR REVIEWS OF THIS SPECIFIC MOTION PICTURE AND <extra_id_0> OF THE STUDIO. NOT FOR SALE OR REDISTRIBUTION.",['TO REMAIN THE PROPERTY'],4,7
"u. The Breakfast Club (John Hughes, 1985, VS). Plezierig serieuze teenagerfilm strandt laatste half uur in vet moralisme. Vijf uiteenlopende, voor straf in de schoolbibliot","u. The Breakfast Club (John Hughes, 1985, VS). Plezierig serieuze teenagerfilm strandt laatste half uur in vet moralisme. Vijf uiteenlopende, voor straf <extra_id_0>",['in de schoolbibliot'],4,7
uit 1782 speelt in het Manhattan van de jaren negentig. Film over manipulatie en verleiding in rijkeluismilieu werd destijds in deze krant omschreven als,uit 1782 speelt in het Manhattan van de jaren negentig. Film over manipulatie en verleiding in rijkeluismilieu werd destijds <extra_id_0> als,['in deze krant omschreven'],4,7
Kees Momma (49) is autistisch. Hij werd bekend door de documentaire Het beste voor Kees van Monique Nolte,Kees Momma (49) is autistisch. Hij werd bekend door de <extra_id_0> voor Kees van Monique Nolte,['documentaire Het beste'],3,7
dagen zijn de gemeenteraadsverkiezingen. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen. De,dagen <extra_id_0> gemeenteraadsverkiezingen. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen. De,['zijn de'],2,7
en. Ben jij ook op zoek naar een baan en wil je jezelf graag pitchen? Of heb jij misschien de ideale baan voor,en. Ben jij ook op zoek naar <extra_id_0> wil je jezelf graag pitchen? Of heb jij misschien de ideale baan voor,['een baan en'],3,7
Benieuwd hoe de nabije toekomst volgens Audi eruit ziet? Of zo snel mogelijk een elektrische Audi rijden? Kijk dan op zero.audi.nl/nl,Benieuwd hoe de nabije toekomst volgens Audi eruit ziet? Of zo snel mogelijk <extra_id_0> rijden? Kijk dan op zero.audi.nl/nl,['een elektrische Audi'],3,7
- NRC Opgevoed Elke week legt Annemiek Leclaire een lezersvraag voor aan deskundigen. Deze week: Een,- NRC Opgevoed Elke week legt Annemiek <extra_id_0> lezersvraag voor aan deskundigen. Deze week: Een,['Leclaire een'],2,7
t Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,<extra_id_0> belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,['t Deze rubriek'],3,7
"Monet, Van Gogh en Picasso en vele anderen hoogtepunten uit een Haagse collectie t/m 5 okt in de Kunsthal,","Monet, <extra_id_0> Picasso en vele anderen hoogtepunten uit een Haagse collectie t/m 5 okt in de Kunsthal,",['Van Gogh en'],3,7
". DE JURK In zijn derde, knap geconstrueerde, maar losse speelfilm volgt regisseur Alex van Warmerdam de levensloop van een zomerjurk, van katoenbolletje tot crematorium. Fragmenten van 'vrolijke verhalen' vormen een grimmig mozaek van rampspoed en onmacht in de intermenselijke sfeer.",". DE JURK In zijn derde, knap geconstrueerde, maar losse speelfilm volgt <extra_id_0> Warmerdam de levensloop van een zomerjurk, van katoenbolletje tot crematorium. Fragmenten <extra_id_1> vormen een grimmig mozaek van rampspoed en onmacht in de intermenselijke sfeer.","['regisseur Alex van', ""van 'vrolijke verhalen'""]",6,7
